country_code_iso2,region,locode,port_name,latitude,longitude,facade,fao_areas,is_active
HR,,HRPLE,Ploče,43.05,17.4333333333333,,{37.2.1},False
EE,,EEKLE,"Kallaste, Saare Mk",58.66833333,23.25277778,,{27.3.d.29},False
JP,,JPTMY,Tomiya,38.38333333,140.8833333,,{61},False
PL,,PLSOP,Sopot,54.43666667,18.575,,{27.3.d.26},False
HR,,HRKAR,Karlovac ,45.29,15.32,,{37.2.1},False
SE,,SEVIE,Villinge,59.091167,18.602167,,{27.3.d.27},False
GR,,GRPLG,Porto Lagos,40.968,25.194,,{37.3.1},False
BR,,BRSPU,Santo Antônio Da Patrulha,-29.8166666666667,-50.5166666666667,,{41.2.2},False
NO,,NOSNL,Standal,62.26666667,6.433333333,,{27.2.a.2},False
BR,,BRAHF,Cidade De Anchieta Fpso,-21.3333333333333,-40.05,,{41.2.1},False
IT,,ITGLJ,Camogli,44.35,9.15,,{37.1.3},False
HR,,HRRGC,Rogač,43.4,16.3,,{37.2.1},False
JP,,JPIMU,Imizu,36.76666667,137.1333333,,{61},False
NO,,NOLAN,Langevåg - Sula,62.43333333,6.216666667,,{27.2.a.2},False
BR,,BRTCM,Tacima,-6.48333333333333,-35.6333333333333,,{41.1.2},False
GB,,GBCSR,Chester,53.2,-2.916666667,,{27.7.a},False
FI,,FIKSN,Kasnäs,59.91666667,22.4,,{27.3.d.29},False
PT,,PTPRG,Praia Da Graciosa,39.05,-27.96666667,,{27.10.a.2},False
SE,,SEAEL,Aelvsered,57.2333333333333,12.85,,{27.3.a.21},False
NZ,,NZLYT,Lyttelton,-43.6,172.7166667,,{81},False
NO,,NOHSO,Husøy - Karmøy,59.33333333,5.3,,{27.4.a},False
MA,,MATTU,Tétouan,35.56666667,-5.383333333,,{37.1.1},False
GB,,GBBKN,Bracknell,51.4,-0.75,,{27.7.d},False
ES,,ESVIV,Vivero,43.66602016,-7.5937302,,{27.8.c},False
IT,,ITDRV,Villandro,40.5,8.466666667,,{37.1.3},False
DE,,DEWOL,Wolgast,54.05,13.76666667,,{27.3.d.24},False
GB,,GBRHY,Rhyl,53.31666667,-3.5,,{27.7.a},False
SE,,SEGEA,Getå,58.666333,16.2955,,{27.3.d.27},False
